3027.547909	3.164273138
3038.412214	5.059017604
3049.27652	6.415282082
3060.140825	7.492334714
3076.437282	8.820724334
3098.165892	10.32466487
3119.894503	11.60124719
3141.623113	12.69833618
3163.351723	13.70235455
3185.080333	14.61330231
3212.241096	15.61736701
3239.401858	16.50841739
3565.33101	22.79346354
3641.381146	23.65169136
3744.592044	24.52646838
3865.18583	25.26106251
3979.261034	25.77259418
4103.114111	26.25556282
4222.621467	26.58293352
4337.783101	26.84463424
4461.636179	27.12163883
4583.316396	27.41312939
4695.218738	27.64941942
4820.158246	27.80640844
4939.665602	28.00650205
5059.172958	28.34148762
5183.026036	28.73452829
5298.187669	29.05787319
5417.695025	29.43963581
5541.548103	29.7906134
5655.623306	30.05484314
5776.217093	30.21868474
5898.98374	30.40393902
6015.231804	30.67398911
6134.73916	30.9360895
6255.332946	31.14888383
6369.408149	31.39715861
6493.261227	31.74414746
6589.229255	31.98670776
6751.831688	32.3896277
6873.511905	32.64304392
6995.192122	32.79057721
7112.526616	32.88078062
7232.033972	32.97607913
7349.368467	32.98505727
7471.048684	32.97811751
7594.901762	33.01507243
7710.063395	33.03817394
7829.570751	32.94853993
7949.078107	32.90241946
8068.585463	32.90343865
8192.43854	32.93241609
8305.427313	33.02113198
8427.10753	33.06604585
8548.787747	33.06708357
8666.122242	33.07171036
8785.629597	33.12349534
8905.136953	33.04836584
9024.644309	32.99136699
9147.410956	32.93657161
9259.313298	32.79792002
9383.166376	32.64994241
9502.673732	32.43339393
9622.181088	32.04641744
9719.959834	31.10549411
9790.577816	30.17254111
9844.899342	29.22900242
9888.356562	28.34520219
9931.813782	27.43481035
9975.271003	26.53771432
10013.29607	25.71369887
10045.88899	24.85639759
10078.4819	23.90602569
10111.07482	22.90247059
10143.66773	21.87232388
10176.26065	20.76905026
10203.42141	19.84256448
10230.58217	18.8017348
10263.17509	17.55220735
10290.33585	16.54461718
10317.49661	15.51841289
10350.08953	14.50820988
10382.68244	13.52459848
10415.27536	12.63848963
10447.86827	11.75681271
10480.46119	10.75192802
10513.0541	9.776294101
10545.64702	8.91234492
